District Code,State,District #,Incumbent Representative,Democratic Candidate / Nominee,Republican Candidate / Nominee,Consensus Race Rating,Latest Poll / Rating Margin,Key Battleground,Source Link,Race Notes,
GA-11,GA,11,Republican Incumbent (GA),Democratic Candidate (GA-11),Republican Candidate (GA-11),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
GA-12,GA,12,Democratic Incumbent (GA),Democratic Candidate (GA-12),Republican Candidate (GA-12),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
GA-13,GA,13,Republican Incumbent (GA),Democratic Candidate (GA-13),Republican Candidate (GA-13),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
GA-14,GA,14,Republican Incumbent (GA),Democratic Candidate (GA-14),Republican Candidate (GA-14),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
HI-01,GA,1,Democratic Incumbent (GA),Democratic Candidate (HI-01),Republican Candidate (HI-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
HI-02,GA,2,Democratic Incumbent (GA),Democratic Candidate (HI-02),Republican Candidate (HI-02),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
ID-01,ID,1,Republican Incumbent (ID),Democratic Candidate (ID-01),Republican Candidate (ID-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
ID-02,ID,2,Republican Incumbent (ID),Democratic Candidate (ID-02),Republican Candidate (ID-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IL-01,IL,1,Democratic Incumbent (IL),Democratic Candidate (IL-01),Republican Candidate (IL-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-02,IL,2,Democratic Incumbent (IL),Democratic Candidate (IL-02),Republican Candidate (IL-02),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-03,IL,3,Democratic Incumbent (IL),Democratic Candidate (IL-03),Republican Candidate (IL-03),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-04,IL,4,Democratic Incumbent (IL),Democratic Candidate (IL-04),Republican Candidate (IL-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-05,IL,5,Republican Incumbent (IL),Democratic Candidate (IL-05),Republican Candidate (IL-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IL-06,IL,6,Democratic Incumbent (IL),Democratic Candidate (IL-06),Republican Candidate (IL-06),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-07,IL,7,Democratic Incumbent (IL),Democratic Candidate (IL-07),Republican Candidate (IL-07),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-08,IL,8,Democratic Incumbent (IL),Democratic Candidate (IL-08),Republican Candidate (IL-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-09,IL,9,Democratic Incumbent (IL),Democratic Candidate (IL-09),Republican Candidate (IL-09),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-10,IL,10,Republican Incumbent (IL),Democratic Candidate (IL-10),Republican Candidate (IL-10),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IL-11,IL,11,Democratic Incumbent (IL),Democratic Candidate (IL-11),Republican Candidate (IL-11),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-12,IL,12,Democratic Incumbent (IL),Democratic Candidate (IL-12),Republican Candidate (IL-12),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-13,IL,13,Democratic Incumbent (IL),Democratic Candidate (IL-13),Republican Candidate (IL-13),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-14,IL,14,Democratic Incumbent (IL),Democratic Candidate (IL-14),Republican Candidate (IL-14),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-15,IL,15,Republican Incumbent (IL),Democratic Candidate (IL-15),Republican Candidate (IL-15),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IL-16,IL,16,Democratic Incumbent (IL),Democratic Candidate (IL-16),Republican Candidate (IL-16),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IL-17,IL,17,Eric Sorensen (D),Eric Sorensen,Joe McGraw,Lean Democratic,D +5.0%,Yes,https://centerforpolitics.org/crystalball/2026-house/,NW Illinois working-class district.,
IN-01,IN,1,Republican Incumbent (IN),Democratic Candidate (IN-01),Republican Candidate (IN-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IN-02,IN,2,Republican Incumbent (IN),Democratic Candidate (IN-02),Republican Candidate (IN-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IN-03,IN,3,Republican Incumbent (IN),Democratic Candidate (IN-03),Republican Candidate (IN-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IN-04,IN,4,Democratic Incumbent (IN),Democratic Candidate (IN-04),Republican Candidate (IN-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IN-05,IN,5,Republican Incumbent (IN),Democratic Candidate (IN-05),Republican Candidate (IN-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IN-06,IN,6,Republican Incumbent (IN),Democratic Candidate (IN-06),Republican Candidate (IN-06),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IN-07,IN,7,Republican Incumbent (IN),Democratic Candidate (IN-07),Republican Candidate (IN-07),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IN-08,IN,8,Democratic Incumbent (IN),Democratic Candidate (IN-08),Republican Candidate (IN-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
IN-09,IN,9,Republican Incumbent (IN),Democratic Candidate (IN-09),Republican Candidate (IN-09),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IA-01,IA,1,Mariannette Miller-Meeks (R),Christina Bohannan,Mariannette Miller-Meeks,Tossup,D +1.0%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,SE Iowa tight rematch.,
IA-02,IA,2,Republican Incumbent (IA),Democratic Candidate (IA-02),Republican Candidate (IA-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
IA-03,IA,3,Zach Nunn (R),Trone Garriott,Zach Nunn,Tossup,D +1.5%,Yes,https://swingleft.org/house,Des Moines metro area battleground.,
IA-04,IA,4,Democratic Incumbent (IA),Democratic Candidate (IA-04),Republican Candidate (IA-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
KS-01,KS,1,Republican Incumbent (KS),Democratic Candidate (KS-01),Republican Candidate (KS-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
KS-02,KS,2,Republican Incumbent (KS),Democratic Candidate (KS-02),Republican Candidate (KS-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
KS-03,KS,3,Sharice Davids (D),Sharice Davids,Prasanth Reddy,Likely Democratic,D +6.0%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,Kansas City suburbs.,
KS-04,KS,4,Democratic Incumbent (KS),Democratic Candidate (KS-04),Republican Candidate (KS-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
KY-01,KY,1,Republican Incumbent (KY),Democratic Candidate (KY-01),Republican Candidate (KY-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
KY-02,KY,2,Republican Incumbent (KY),Democratic Candidate (KY-02),Republican Candidate (KY-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
KY-03,KY,3,Republican Incumbent (KY),Democratic Candidate (KY-03),Republican Candidate (KY-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
KY-04,KY,4,Thomas Massie (R - Primary Lost),TBD,Ed Gallrein,Solid Republican,R +15.0%,Yes,https://ballotpedia.org/United_States_House_of_Representatives_elections,_2026,Massie defeated in GOP primary by Trump-backed Gallrein ($32M spent).
KY-05,KY,5,Republican Incumbent (KY),Democratic Candidate (KY-05),Republican Candidate (KY-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
KY-06,KY,6,Republican Incumbent (KY),Democratic Candidate (KY-06),Republican Candidate (KY-06),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
LA-01,LA,1,Republican Incumbent (LA),Democratic Candidate (LA-01),Republican Candidate (LA-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
LA-02,LA,2,Republican Incumbent (LA),Democratic Candidate (LA-02),Republican Candidate (LA-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
LA-03,LA,3,Republican Incumbent (LA),Democratic Candidate (LA-03),Republican Candidate (LA-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
LA-04,LA,4,Democratic Incumbent (LA),Democratic Candidate (LA-04),Republican Candidate (LA-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
LA-05,LA,5,Republican Incumbent (LA),Democratic Candidate (LA-05),Republican Candidate (LA-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
LA-06,LA,6,Republican Incumbent (LA),Democratic Candidate (LA-06),Republican Candidate (LA-06),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
ME-01,ME,1,Democratic Incumbent (ME),Democratic Candidate (ME-01),Republican Candidate (ME-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
ME-02,ME,2,Jared Golden (D),Jared Golden,Austin Theriault,Tossup,D +1.0%,Yes,https://centerforpolitics.org/crystalball/2026-house/,Rural Maine Trump-won district.,
MD-01,MD,1,Democratic Incumbent (MD),Democratic Candidate (MD-01),Republican Candidate (MD-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MD-02,MD,2,Democratic Incumbent (MD),Democratic Candidate (MD-02),Republican Candidate (MD-02),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MD-03,MD,3,Democratic Incumbent (MD),Democratic Candidate (MD-03),Republican Candidate (MD-03),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MD-04,MD,4,Democratic Incumbent (MD),Democratic Candidate (MD-04),Republican Candidate (MD-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MD-05,MD,5,Republican Incumbent (MD),Democratic Candidate (MD-05),Republican Candidate (MD-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MD-06,MD,6,April McClain Delaney (D),April McClain Delaney,Neil Parrott,Lean Democratic,D +5.0%,Yes,https://ballotpedia.org/United_States_House_of_Representatives_elections,_2026,Western Maryland suburban seat.
MD-07,MD,7,Democratic Incumbent (MD),Democratic Candidate (MD-07),Republican Candidate (MD-07),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MD-08,MD,8,Democratic Incumbent (MD),Democratic Candidate (MD-08),Republican Candidate (MD-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MA-01,MA,1,Democratic Incumbent (MA),Democratic Candidate (MA-01),Republican Candidate (MA-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MA-02,MA,2,Democratic Incumbent (MA),Democratic Candidate (MA-02),Republican Candidate (MA-02),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MA-03,MA,3,Democratic Incumbent (MA),Democratic Candidate (MA-03),Republican Candidate (MA-03),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MA-04,MA,4,Democratic Incumbent (MA),Democratic Candidate (MA-04),Republican Candidate (MA-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MA-05,MA,5,Republican Incumbent (MA),Democratic Candidate (MA-05),Republican Candidate (MA-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MA-06,MA,6,Democratic Incumbent (MA),Democratic Candidate (MA-06),Republican Candidate (MA-06),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MA-07,MA,7,Democratic Incumbent (MA),Democratic Candidate (MA-07),Republican Candidate (MA-07),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MA-08,MA,8,Democratic Incumbent (MA),Democratic Candidate (MA-08),Republican Candidate (MA-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MA-09,MA,9,Democratic Incumbent (MA),Democratic Candidate (MA-09),Republican Candidate (MA-09),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MI-01,MI,1,Democratic Incumbent (MI),Democratic Candidate (MI-01),Republican Candidate (MI-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MI-02,MI,2,Republican Incumbent (MI),Democratic Candidate (MI-02),Republican Candidate (MI-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MI-03,MI,3,Hillary Scholten (D),Hillary Scholten,Paul Hudson,Lean Democratic,D +5.0%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,Grand Rapids metro area.,
MI-04,MI,4,Democratic Incumbent (MI),Democratic Candidate (MI-04),Republican Candidate (MI-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MI-05,MI,5,Republican Incumbent (MI),Democratic Candidate (MI-05),Republican Candidate (MI-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MI-06,MI,6,Democratic Incumbent (MI),Democratic Candidate (MI-06),Republican Candidate (MI-06),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MI-07,MI,7,Tom Barrett (R),William Lawrence / Matthew Maasdam,Tom Barrett,Tossup,Even / D +0.5%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,Lansing battleground; massive campaign spending.,
MI-08,MI,8,Kristen McDonald Rivet (D),Kristen McDonald Rivet,Paul Junge,Lean Democratic,D +3.0%,Yes,https://centerforpolitics.org/crystalball/2026-house/,Flint / Tri-Cities district.,
MI-09,MI,9,Democratic Incumbent (MI),Democratic Candidate (MI-09),Republican Candidate (MI-09),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MI-10,MI,10,Republican Incumbent (MI),Democratic Candidate (MI-10),Republican Candidate (MI-10),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MI-11,MI,11,Democratic Incumbent (MI),Democratic Candidate (MI-11),Republican Candidate (MI-11),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MI-12,MI,12,Democratic Incumbent (MI),Democratic Candidate (MI-12),Republican Candidate (MI-12),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MI-13,MI,13,Democratic Incumbent (MI),Democratic Candidate (MI-13),Republican Candidate (MI-13),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MN-01,MN,1,Democratic Incumbent (MN),Democratic Candidate (MN-01),Republican Candidate (MN-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MN-02,MN,2,Angie Craig (D),Angie Craig,Joe Teirab,Lean Democratic,D +4.0%,Yes,https://ballotpedia.org/United_States_House_of_Representatives_elections,_2026,Twin Cities southern suburbs.
MN-03,MN,3,Democratic Incumbent (MN),Democratic Candidate (MN-03),Republican Candidate (MN-03),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MN-04,MN,4,Democratic Incumbent (MN),Democratic Candidate (MN-04),Republican Candidate (MN-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MN-05,MN,5,Republican Incumbent (MN),Democratic Candidate (MN-05),Republican Candidate (MN-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MN-06,MN,6,Democratic Incumbent (MN),Democratic Candidate (MN-06),Republican Candidate (MN-06),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MN-07,MN,7,Democratic Incumbent (MN),Democratic Candidate (MN-07),Republican Candidate (MN-07),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MN-08,MN,8,Democratic Incumbent (MN),Democratic Candidate (MN-08),Republican Candidate (MN-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MS-01,MS,1,Republican Incumbent (MS),Democratic Candidate (MS-01),Republican Candidate (MS-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MS-02,MS,2,Republican Incumbent (MS),Democratic Candidate (MS-02),Republican Candidate (MS-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MS-03,MS,3,Republican Incumbent (MS),Democratic Candidate (MS-03),Republican Candidate (MS-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MS-04,MS,4,Democratic Incumbent (MS),Democratic Candidate (MS-04),Republican Candidate (MS-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MO-01,MO,1,Republican Incumbent (MO),Democratic Candidate (MO-01),Republican Candidate (MO-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MO-02,MO,2,Republican Incumbent (MO),Democratic Candidate (MO-02),Republican Candidate (MO-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MO-03,MO,3,Republican Incumbent (MO),Democratic Candidate (MO-03),Republican Candidate (MO-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MO-04,MO,4,Democratic Incumbent (MO),Democratic Candidate (MO-04),Republican Candidate (MO-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MO-05,MO,5,Republican Incumbent (MO),Democratic Candidate (MO-05),Republican Candidate (MO-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MO-06,MO,6,Republican Incumbent (MO),Democratic Candidate (MO-06),Republican Candidate (MO-06),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MO-07,MO,7,Republican Incumbent (MO),Democratic Candidate (MO-07),Republican Candidate (MO-07),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MO-08,MO,8,Democratic Incumbent (MO),Democratic Candidate (MO-08),Republican Candidate (MO-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
MT-01,MT,1,Republican Incumbent (MT),Democratic Candidate (MT-01),Republican Candidate (MT-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
MT-02,MT,2,Republican Incumbent (MT),Democratic Candidate (MT-02),Republican Candidate (MT-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
NE-01,NE,1,Republican Incumbent (NE),Democratic Candidate (NE-01),Republican Candidate (NE-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
NE-02,NE,2,Don Bacon (R),Tony Vargas,Don Bacon,Tossup,D +2.0%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,Omaha-centered 'blue dot' district.,
NE-03,NE,3,Republican Incumbent (NE),Democratic Candidate (NE-03),Republican Candidate (NE-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
NV-01,NV,1,Democratic Incumbent (NV),Democratic Candidate (NV-01),Republican Candidate (NV-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NV-02,NV,2,Republican Incumbent (NV),Democratic Candidate (NV-02),Republican Candidate (NV-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
NV-03,NV,3,Democratic Incumbent (NV),Democratic Candidate (NV-03),Republican Candidate (NV-03),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NV-04,NV,4,Democratic Incumbent (NV),Democratic Candidate (NV-04),Republican Candidate (NV-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NH-01,NH,1,Democratic Incumbent (NH),Democratic Candidate (NH-01),Republican Candidate (NH-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NH-02,NH,2,Republican Incumbent (NH),Democratic Candidate (NH-02),Republican Candidate (NH-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
NJ-01,NJ,1,Democratic Incumbent (NJ),Democratic Candidate (NJ-01),Republican Candidate (NJ-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NJ-02,NJ,2,Democratic Incumbent (NJ),Democratic Candidate (NJ-02),Republican Candidate (NJ-02),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NJ-03,NJ,3,Democratic Incumbent (NJ),Democratic Candidate (NJ-03),Republican Candidate (NJ-03),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NJ-04,NJ,4,Democratic Incumbent (NJ),Democratic Candidate (NJ-04),Republican Candidate (NJ-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NJ-05,NJ,5,Republican Incumbent (NJ),Democratic Candidate (NJ-05),Republican Candidate (NJ-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
NJ-06,NJ,6,Democratic Incumbent (NJ),Democratic Candidate (NJ-06),Republican Candidate (NJ-06),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NJ-07,NJ,7,Thomas Kean Jr. (R),Sue Altman,Thomas Kean Jr.,Tossup,D +1.0%,Yes,https://centerforpolitics.org/crystalball/2026-house/,North Jersey suburban battleground.,
NJ-08,NJ,8,Democratic Incumbent (NJ),Democratic Candidate (NJ-08),Republican Candidate (NJ-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
NJ-09,NJ,9,Democratic Incumbent (NJ),Democratic Candidate (NJ-09),Republican Candidate (NJ-09),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
